pinguin_id,date,species,bill_length,bill_depth,sex
N1A1,2007-11-11,adelie,39.1,18.7,MALE
N1A2,2007-11-11,adelie,39.5,17.4,FEMALE
N2A1,2007-11-16,adelie,40.3,18.0,FEMALE
N2A2,2007-11-16,adelie,,,
N3A1,2007-11-16,adelie,36.7,19.3,FEMALE
N3A2,2007-11-16,adelie,39.3,20.6,MALE
N4A1,2007-11-15,adelie,38.9,17.8,FEMALE
N4A2,2007-11-15,adelie,39.2,19.6,MALE
N5A1,2007-11-09,adelie,34.1,18.1,
N5A2,2007-11-09,adelie,42.0,20.2,
N6A1,2007-11-09,adelie,37.8,17.1,
N6A2,2007-11-09,adelie,37.8,17.3,
N7A1,2007-11-15,adelie,41.1,17.6,FEMALE
N7A2,2007-11-15,adelie,38.6,21.2,MALE
N8A1,2007-11-16,adelie,34.6,21.1,MALE
N8A2,2007-11-16,adelie,36.6,17.8,FEMALE
N9A1,2007-11-12,adelie,38.7,19.0,FEMALE
N9A2,2007-11-12,adelie,42.5,20.7,MALE
N10A1,2007-11-16,adelie,34.4,18.4,FEMALE
N10A2,2007-11-16,adelie,46.0,21.5,MALE
N11A1,2007-11-12,adelie,37.8,18.3,FEMALE
N11A2,2007-11-12,adelie,37.7,18.7,MALE
N12A1,2007-11-12,adelie,35.9,19.2,FEMALE
N12A2,2007-11-12,adelie,38.2,18.1,MALE
N13A1,2007-11-10,adelie,38.8,17.2,MALE
N13A2,2007-11-10,adelie,35.3,18.9,FEMALE
N17A1,2007-11-12,adelie,40.6,18.6,MALE
N17A2,2007-11-12,adelie,40.5,17.9,FEMALE
N18A1,2007-11-10,adelie,37.9,18.6,FEMALE
N18A2,2007-11-10,adelie,40.5,18.9,MALE
N21A1,2007-11-09,adelie,39.5,16.7,FEMALE
N21A2,2007-11-09,adelie,37.2,18.1,MALE
N22A1,2007-11-09,adelie,39.5,17.8,FEMALE
N22A2,2007-11-09,adelie,40.9,18.9,MALE
N23A1,2007-11-16,adelie,36.4,17.0,FEMALE
N23A2,2007-11-16,adelie,39.2,21.1,MALE
N24A1,2007-11-16,adelie,38.8,20.0,MALE
N24A2,2007-11-16,adelie,42.2,18.5,FEMALE
N25A1,2007-11-13,adelie,37.6,19.3,FEMALE
N25A2,2007-11-13,adelie,39.8,19.1,MALE
N26A1,2007-11-16,adelie,36.5,18.0,FEMALE
N26A2,2007-11-16,adelie,40.8,18.4,MALE
N27A1,2007-11-19,adelie,36.0,18.5,FEMALE
N27A2,2007-11-19,adelie,44.1,19.7,MALE
N28A1,2007-11-16,adelie,37.0,16.9,FEMALE
N28A2,2007-11-16,adelie,39.6,18.8,MALE
N29A1,2007-11-13,adelie,41.1,19.0,MALE
N29A2,2007-11-13,adelie,37.5,18.9,
N30A1,2007-11-13,adelie,36.0,17.9,FEMALE
N30A2,2007-11-13,adelie,42.3,21.2,MALE
N21A1,2008-11-06,adelie,39.6,17.7,FEMALE
N21A2,2008-11-06,adelie,40.1,18.9,MALE
N22A1,2008-11-09,adelie,35.0,17.9,FEMALE
N22A2,2008-11-09,adelie,42.0,19.5,MALE
N23A1,2008-11-09,adelie,34.5,18.1,FEMALE
N23A2,2008-11-09,adelie,41.4,18.6,MALE
N24A1,2008-11-15,adelie,39.0,17.5,FEMALE
N24A2,2008-11-15,adelie,40.6,18.8,MALE
N25A1,2008-11-15,adelie,36.5,16.6,FEMALE
N25A2,2008-11-15,adelie,37.6,19.1,MALE
N27A1,2008-11-13,adelie,35.7,16.9,FEMALE
N27A2,2008-11-13,adelie,41.3,21.1,MALE
N28A1,2008-11-13,adelie,37.6,17.0,FEMALE
N28A2,2008-11-13,adelie,41.1,18.2,MALE
N29A1,2008-11-13,adelie,36.4,17.1,FEMALE
N29A2,2008-11-13,adelie,41.6,18.0,MALE
N30A1,2008-11-06,adelie,35.5,16.2,FEMALE
N30A2,2008-11-06,adelie,41.1,19.1,MALE
N32A1,2008-11-11,adelie,35.9,16.6,FEMALE
N32A2,2008-11-11,adelie,41.8,19.4,MALE
N34A1,2008-11-14,adelie,33.5,19.0,FEMALE
N34A2,2008-11-14,adelie,39.7,18.4,MALE
N35A1,2008-11-11,adelie,39.6,17.2,FEMALE
N35A2,2008-11-11,adelie,45.8,18.9,MALE
N36A1,2008-11-08,adelie,35.5,17.5,FEMALE
N36A2,2008-11-08,adelie,42.8,18.5,MALE
N37A1,2008-11-06,adelie,40.9,16.8,FEMALE
N37A2,2008-11-06,adelie,37.2,19.4,MALE
N38A1,2008-11-09,adelie,36.2,16.1,FEMALE
N38A2,2008-11-09,adelie,42.1,19.1,MALE
N39A1,2008-11-02,adelie,34.6,17.2,FEMALE
N39A2,2008-11-02,adelie,42.9,17.6,MALE
N40A1,2008-11-07,adelie,36.7,18.8,FEMALE
N40A2,2008-11-07,adelie,35.1,19.4,MALE
N41A1,2008-11-17,adelie,37.3,17.8,FEMALE
N41A2,2008-11-17,adelie,41.3,20.3,MALE
N42A1,2008-11-08,adelie,36.3,19.5,MALE
N42A2,2008-11-08,adelie,36.9,18.6,FEMALE
N44A1,2008-11-08,adelie,38.3,19.2,MALE
N44A2,2008-11-08,adelie,38.9,18.8,FEMALE
N45A1,2008-11-14,adelie,35.7,18.0,FEMALE
